calc_time,,funding_interval_hours,last_funding_rate
2024-01-01 00:00:00,AAVEUSDT,8,0.00012565
2024-01-01 00:00:00,BNBUSDT,8,-0.00115565
2024-01-01 00:00:00,BTCUSDT,8,0.00037409
2024-01-01 00:00:00,DOGEUSDT,8,0.00022291
2024-01-01 00:00:00,ETHUSDT,8,0.00027858
2024-01-01 00:00:00,MASKUSDT,8,0.00052662
2024-01-01 00:00:00,SOLUSDT,8,0.0002241
2024-01-01 00:00:00,XRPUSDT,8,0.00022084
2024-01-01 08:00:00,AAVEUSDT,8,0.00014543
2024-01-01 08:00:00,BNBUSDT,8,-0.00043985
2024-01-01 08:00:00,BTCUSDT,8,0.00027213
2024-01-01 08:00:00,DOGEUSDT,8,0.00018953
2024-01-01 08:00:00,ETHUSDT,8,0.00031096
2024-01-01 08:00:00,MASKUSDT,8,0.00038551
2024-01-01 08:00:00,SOLUSDT,8,0.00032989
2024-01-01 08:00:00,XRPUSDT,8,0.0001
2024-01-01 16:00:00,AAVEUSDT,8,0.00032166
2024-01-01 16:00:00,BNBUSDT,8,-0.00021335
2024-01-01 16:00:00,BTCUSDT,8,0.00033601
2024-01-01 16:00:00,DOGEUSDT,8,0.00041893
2024-01-01 16:00:00,ETHUSDT,8,0.00043011
2024-01-01 16:00:00,MASKUSDT,8,0.00052976
2024-01-01 16:00:00,SOLUSDT,8,0.00051477
2024-01-01 16:00:00,XRPUSDT,8,0.0003992
2024-01-02 00:00:00,AAVEUSDT,8,0.00068483
2024-01-02 00:00:00,BNBUSDT,8,-4.388e-05
2024-01-02 00:00:00,BTCUSDT,8,0.00065846
2024-01-02 00:00:00,DOGEUSDT,8,0.0005603
2024-01-02 00:00:00,ETHUSDT,8,0.00053505
2024-01-02 00:00:00,MASKUSDT,8,0.00032874
2024-01-02 00:00:00,SOLUSDT,8,0.00057513
2024-01-02 00:00:00,XRPUSDT,8,0.00063561
2024-01-02 08:00:00,AAVEUSDT,8,0.00047193
2024-01-02 08:00:00,BNBUSDT,8,-1.968e-05
2024-01-02 08:00:00,BTCUSDT,8,0.00035179
2024-01-02 08:00:00,DOGEUSDT,8,0.00052026
2024-01-02 08:00:00,ETHUSDT,8,0.0005124
2024-01-02 08:00:00,MASKUSDT,8,0.00035082
2024-01-02 08:00:00,SOLUSDT,8,0.00046798
2024-01-02 08:00:00,XRPUSDT,8,0.00057012
2024-01-02 16:00:00,AAVEUSDT,8,0.00050361
2024-01-02 16:00:00,BNBUSDT,8,0.0
2024-01-02 16:00:00,BTCUSDT,8,0.0005373
2024-01-02 16:00:00,DOGEUSDT,8,0.00069049
2024-01-02 16:00:00,ETHUSDT,8,0.00063801
2024-01-02 16:00:00,MASKUSDT,8,0.00061988
2024-01-02 16:00:00,SOLUSDT,8,0.00096801
2024-01-02 16:00:00,XRPUSDT,8,0.00059688
2024-01-03 00:00:00,AAVEUSDT,8,0.0002265
2024-01-03 00:00:00,BNBUSDT,8,-0.00040129
2024-01-03 00:00:00,BTCUSDT,8,0.00021159
2024-01-03 00:00:00,DOGEUSDT,8,0.00037951
2024-01-03 00:00:00,ETHUSDT,8,0.00028538
2024-01-03 00:00:00,MASKUSDT,8,0.00056283
2024-01-03 00:00:00,SOLUSDT,8,0.00032289
2024-01-03 00:00:00,XRPUSDT,8,0.0003411
2024-01-03 08:00:00,AAVEUSDT,8,0.00012012
2024-01-03 08:00:00,BNBUSDT,8,0.0
2024-01-03 08:00:00,BTCUSDT,8,0.00017123
2024-01-03 08:00:00,DOGEUSDT,8,0.00037008
2024-01-03 08:00:00,ETHUSDT,8,0.00024384
2024-01-03 08:00:00,MASKUSDT,8,0.00053029
